cyr,dep_id,see,app_udep_rc2,latest_moecd_scd2,top_uni,public
2018,1555,30,032092_國立臺北教育大學_語文與創作學系文學創作組,0037_02322018,FALSE,TRUE
2018,1556,30,032082_國立臺北教育大學_語文與創作學系語文師資組,0037_02322018,FALSE,TRUE
2018,1557,50,032182_國立臺北教育大學_語文與創作學系語文師資組(公費生),0037_02322018,FALSE,TRUE
2018,1558,20,032132_國立臺北教育大學_資訊科學系,0037_06131004,FALSE,TRUE
2018,1559,0,032232_國立臺北教育大學_音樂學系,0037_02151031,FALSE,TRUE
2018,1560,0,032252_國立臺北教育大學_音樂學系(公費生),0037_02151031,FALSE,TRUE
2018,1564,0,032242_國立臺北教育大學_音樂學系(芝山組),0037_02151031,FALSE,TRUE
2018,1566,40,032272_國立臺北教育大學_體育學系,0037_01141002,FALSE,TRUE
2018,1567,70,028012_國立臺北藝術大學_劇場設計學系,0028_02152011,FALSE,TRUE
2018,1569,50,028022_國立臺北藝術大學_新媒體藝術學系,0028_02191023,FALSE,TRUE
2018,1572,50,033052_國立臺南大學_國語文學系,0036_02322031,FALSE,TRUE
2018,1573,50,033032_國立臺南大學_幼兒教育學系,0036_01121018,FALSE,TRUE
2018,1575,50,033182_國立臺南大學_應用數學系,0036_05411047,FALSE,TRUE
2018,1576,50,033202_國立臺南大學_應用數學系(公費生),0036_05411047,FALSE,TRUE
2018,1577,50,033172_國立臺南大學_戲劇創作與應用學系,0036_02152029,FALSE,TRUE
2018,1578,50,033012_國立臺南大學_教育學系,0036_01111001,FALSE,TRUE
2018,1579,50,033192_國立臺南大學_教育學系(公費生),0036_01111001,FALSE,TRUE
2018,1583,50,033102_國立臺南大學_數位學習科技學系,0036_06134024,FALSE,TRUE
2018,1585,50,033082_國立臺南大學_文化與自然資源學系,0036_03143037,FALSE,TRUE
2018,1586,50,033132_國立臺南大學_材料科學系,0036_07112055,FALSE,TRUE
2018,1587,60,033022_國立臺南大學_特殊教育學系,0036_01113019,FALSE,TRUE
2018,1591,50,033162_國立臺南大學_生態暨環境資源學系,0036_05212063,FALSE,TRUE
2018,1593,50,033152_國立臺南大學_生物科技學系,0036_05121044,FALSE,TRUE
2018,1594,50,033092_國立臺南大學_經營與管理學系,0036_04131041,FALSE,TRUE
